Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"","genus not specified","","Kenya","cross-sectional","22","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Megaderma spasma","genus not specified","","Thailand","cross-sectional","3","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Plecotus auritus","genus not specified","","Hungary","cross-sectional","29","0","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Myotis macrodactylus","genus not specified","","South Korea","cross-sectional","7","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Eptesicus serotinus","genus not specified","","South Korea","cross-sectional","31","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Chaerephon plicatus","alphacoronavirus","","Myanmar","cross-sectional","105","4","pooled","faecal, rectal, or anal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Scotophilus dinganii","genus not specified","","Kenya","cross-sectional","5","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Pteropus rufus","genus not specified","","Madagascar","longitudinal","48","0","pooled","oropharyngeal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Rhinolophus pearsonii","genus not specified","","Thailand","cross-sectional","1","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Glossophaga soricina","alphacoronavirus","","Brazil","cross-sectional","33","1","single","faecal, rectal, or anal","PCR","Asano et al. 2016","https://www.doi.org/10.1186/s12985-016-0569-4"
"","alphacoronavirus","","Guinea","cross-sectional","13","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Lasionycteris noctivagans","genus not specified","","United States of America","cross-sectional","11","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","Bulgaria","cross-sectional","45","6","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Dermanura phaeotis","betacoronavirus","","Mexico","cross-sectional","21","1","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Cynopterus brachyotis","alphacoronavirus","","Thailand","cross-sectional","6","1","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"","alphacoronavirus","","Kenya","cross-sectional","57","15","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","25","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros armiger","genus not specified","","China","longitudinal","198","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","longitudinal","136","3","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Macroderma gigas","genus not specified","","Australia","longitudinal","57","0","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","5","1","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","longitudinal","19","4","repeat","faecal, rectal, or anal","PCR","Hu et al. 2017","https://www.doi.org/10.1371/journal.ppat.1006698"
"Rhinolophus sinicus","betacoronavirus","","China","longitudinal","10","3","repeat","faecal, rectal, or anal","PCR","Ge et al. 2013","https://www.doi.org/10.1038/nature12711"
"Pipistrellus pipistrellus","genus not specified","","Italy","cross-sectional","20","1","single","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Rhinolophus hipposideros","genus not specified","","Italy","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Rhogeessa tumida","genus not specified","","Costa Rica","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Nyctalus noctula","alphacoronavirus","","Netherlands","cross-sectional","14","5","pooled","faecal, rectal, or anal","PCR","Reusken et al. 2010","https://www.doi.org/10.1089/vbz.2009.0173"
"Rhinolophus clivosus","betacoronavirus","","Rwanda","cross-sectional","19","2","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Pipistrellus abramus","betacoronavirus","","China","cross-sectional","14","4","pooled","pooled swabs/samples","PCR","Woo et al. 2006","https://www.doi.org/10.1016/j.virol.2006.02.041"
"Pipistrellus pipistrellus","genus not specified","","Hungary","cross-sectional","12","0","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"","genus not specified","","Kenya","cross-sectional","11","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Pipistrellus pulveratus","genus not specified","","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"","alphacoronavirus","","Kenya","cross-sectional","25","4","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Pipistrellus kuhlii","genus not specified","","Spain","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis daubentonii","genus not specified","","Germany","longitudinal","13","0","pooled","pooled swabs/samples","PCR","Fischer et al. 2016","https://www.doi.org/10.1016/j.meegid.2015.11.010"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","cross-sectional","10","4","single","faecal, rectal, or anal","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Rhinolophus rouxii","genus not specified","","China","cross-sectional","6","0","pooled","lung or respiratory","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Rhinolophus luctus","genus not specified","","China","cross-sectional","10","0","single","urinary","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Hipposideros dyacorum","genus not specified","","Malaysian Borneo","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Pipistrellus pipistrellus","alphacoronavirus","","France","cross-sectional","53","3","single","faecal, rectal, or anal","PCR","Goffard et al. 2015","https://www.doi.org/10.3390/v7122937"
"Chaerephon plicatus","genus not specified","","Myanmar","cross-sectional","219","0","pooled","oropharyngeal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Rhinolophus darlingi","alphacoronavirus","","Guinea","cross-sectional","5","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Pipistrellus kuhlii","betacoronavirus","Merbecovirus","Italy","cross-sectional","68","6","pooled","pooled tissue","PCR","Lelli et al. 2013","https://www.doi.org/10.3390/v5112679"
"Miniopterus pusillus","betacoronavirus","Merbecovirus","China","cross-sectional","8","0","pooled","faecal, rectal, or anal","Lateral Flow Immunoassay","Woo et al. 2018","https://www.doi.org/10.1038/s41426-017-0016-7"
"Myotis nigricans","genus not specified","","Brazil","cross-sectional","1","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rhinolophus darlingi","genus not specified","","South Africa","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Ptenochirus jagori","genus not specified","","Philippines","cross-sectional","14","0","single","intestine","PCR","Watanabe et al. 2010","https://www.doi.org/10.3201/eid1608.100208"
"","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","Italy","cross-sectional","3","3","single","faecal, rectal, or anal","PCR","Balboni et al. 2012","https://www.doi.org/10.1100/2012/989514"
"Hipposideros armiger","genus not specified","","China","cross-sectional","4","0","pooled","lung or respiratory","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Eptesicus nilssonii","genus not specified","","Finland","cross-sectional","14","0","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Neoromicia nana","genus not specified","","Ghana","cross-sectional","5","0","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Myotis myotis","alphacoronavirus","","Germany","longitudinal","40","40","repeat","faecal, rectal, or anal","PCR","Drexler et al. 2011","https://www.doi.org/10.3201/eid1703.100526"
"Pipistrellus nathusii","genus not specified","","Belgium","cross-sectional","13","0","pooled","intestine","PCR","Van Gucht et al. 2014","https://www.doi.org/10.7589/2013-10-269"
"Ptenochirus jagori","betacoronavirus","","Philippines","cross-sectional","21","4","single","faecal, rectal, or anal","PCR","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Tylonycteris pachypus","genus not specified","","China","cross-sectional","75","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Rousettus lanosus","genus not specified","","Rwanda","cross-sectional","1","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Myotis nattereri","genus not specified","","France","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Pipistrellus pulveratus","genus not specified","","China","cross-sectional","1","0","single","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Nyctalus leisleri","genus not specified","","Spain","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Rhinolophus shameli","alphacoronavirus","","Thailand","cross-sectional","20","2","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Rhinolophus malayanus","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Miniopterus minor","alphacoronavirus","","Kenya","cross-sectional","1","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Pipistrellus kuhlii","genus not specified","","Italy","cross-sectional","56","1","single","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","cross-sectional","84","18","single","intestine","PCR","Hu et al. 2018","https://www.doi.org/10.1038/s41426-018-0155-5"
"Eidolon helvum","genus not specified","","Saudi Arabia","cross-sectional","25","0","single","oropharyngeal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Rhinolophus sinicus,Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","China","longitudinal","39","19","repeat","faecal, rectal, or anal","PCR","Hu et al. 2017","https://www.doi.org/10.1371/journal.ppat.1006698"
"Pteropus lylei","genus not specified","","Thailand","cross-sectional","27","3","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Artibeus lituratus","genus not specified","","Mexico","cross-sectional","26","4","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Myotis lucifugus","genus not specified","","United States of America","cross-sectional","11","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"","genus not specified","","South Africa","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Desmodus rotundus","betacoronavirus","","Brazil","cross-sectional","3","1","pooled","intestine","PCR","Brandão et al. 2008","https://www.doi.org/10.1590/s1413-86702008000600003"
"Pipistrellus kuhlii","alphacoronavirus","","Saudi Arabia","cross-sectional","263","126","single","faecal, rectal, or anal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Nycteris gambiensis","betacoronavirus","Merbecovirus","Ghana","longitudinal","104","29","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Eidolon dupreanum","betacoronavirus","","Madagascar","longitudinal","8","1","pooled","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Rousettus leschenaultii","betacoronavirus","Sarbecovirus","China","cross-sectional","110","0","single","faecal, rectal, or anal","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Rhinolophus pusillus","alphacoronavirus","","China","longitudinal","22","1","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Eptesicus serotinus","genus not specified","","Italy","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Rhinolophus macrotis","genus not specified","","China","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Myotis myotis","genus not specified","","Bulgaria","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Eidolon helvum","betacoronavirus","","Rwanda","cross-sectional","5","1","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Rhinopoma hardwickii","genus not specified","","Saudi Arabia","cross-sectional","15","0","single","faecal, rectal, or anal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"","betacoronavirus","Nobecovirus","India","cross-sectional","30","1","pooled","faecal, rectal, or anal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
